,2.7225E7
US853496AA50,7623000.0
US146900AM71,7623000.0
US88033GCN88,2.6136E7
US03232PAD06,1.6335001E7
US78388JAT34,8712000.0
US26817RAP38,1.7424E7
US94707VAC46,9801001.0
US535919AL83,7623000.0
US125581GQ55,1.9602002E7
US829259AN03,6534000.0
US018772AS22,8712000.0
US15672WAE49,1.0890001E7
US00164VAC72,8712000.0
US03969AAH32,1.4157001E7
US30227LAA52,7623000.0
US374825AA59,8712000.0
US494580AD57,6534000.0
US85571BAE56,9801001.0
US91831AAC53,3.8115E7
US69419BAA35,3267000.0
US20338HAB96,2178000.0
US708160CB09,7623000.0
US516806AB24,6534000.0
US50048VAA89,8712000.0
US729416AX52,7623000.0
US29444UAN63,6534000.0
US893647BB29,1.4157001E7
US629377BW10,1.4157001E7
US00130HBT14,1.4157001E7
US595112BC66,1.1979E7
US02155FAA30,1.5246E7
US72766QAA31,1.5246E7
US20854PAL31,2.7225E7
US077454AF36,8712000.0
US432891AG41,7623000.0
US085790AX14,7623000.0
US35804HAA41,9801001.0
US40415RAR66,1.5246E7
US45824TAR68,1.9602002E7
US72147KAC27,5445000.5
US242370AD62,1.0890001E7
US184502BG63,1089000.0
US02563LAB45,9801001.0
US69327RAC51,7623000.0
US37953MAA80,7623000.0
US02406PAS92,6534000.0
US55354GAB68,1.3068E7
US03969AAJ97,2.5047002E7
US83422AAA16,2.8314002E7
US845467AH21,1.5246E7
US093645AH23,5445000.5
US031652BG49,7623000.0
US13323AAA88,8712000.0
US144577AF02,8712000.0
US538034AK54,9801001.0
US02154VAA98,4.5738E7
US02005NBB55,1.3068E7
US526057BY96,8712000.0
US247916AF60,5445000.5
US45824TAP03,2.3958E7
US595112BA01,1089000.0
US428040CN71,7623000.0
US12513GBA67,7623000.0
US737446AK05,2.2869E7
US561233AD96,1.1979E7
US911365BB94,4356000.0
US762760AB28,1.4157001E7
US364725BE07,1.1979E7
US01551UAA25,1.7424E7
US12592BAD64,7623000.0
US69336TAH95,6534000.0
US914906AR30,1.7424E7
US29265WAA62,2.2869E7
US70457LAA26,7623000.0
US767754CG77,8712000.0
US361841AD12,1.1979E7
US36168QAA22,7623000.0
US65504LAP22,1.4157001E7
US91337DAB01,1.3068E7
US46647DAA19,1.1979E7
US513075BE05,8712000.0
US09628TAA79,8712000.0
US013093AA74,1.9602002E7
US745867AV39,7623000.0
US761519BD88,6534000.0
US51509BAF13,8712000.0
US75915QAC24,1.3068E7
US466112AL37,6534000.0
US335934AD71,1.8513E7
US37185LAH50,1.0890001E7
US12527GAD51,8712000.0
US952355AN55,1.3068E7
US383909AE89,9801001.0
US00163UAB26,6534000.0
US69370CAA80,5445000.5
US29444UAR77,3267000.0
US89236YAA29,1.0890001E7
US87261NAG51,9801001.0
US00773HAA59,7623000.0
US46284PAQ72,1.0890001E7
US62886EAS72,5445000.5
US90320MAA36,1.7424E7
US45685EAG17,9801001.0
US097751BP56,2.6136E7
US22663AAA79,1.7424E7
US431318AN49,8712000.0
US896047AH07,1.6335001E7
US92676XAA54,7623000.0
US68268DAA37,5445000.5
US55342UAG94,9801001.0
US69354PAA93,6534000.0
US90333LAQ59,2178000.0
US88160QAL77,1.1979E7
US008674AH66,7623000.0
US989207AC92,1.6335001E7
US034863AP55,1.4157001E7
US389375AK26,7623000.0
US31562QAF46,2.2869E7
US247916AD13,1.0890001E7
US15135UAG40,6534000.0
US03674XAC02,1.7424E7
US12592BAE48,7623000.0
US053773AV98,8712000.0
US16412XAA37,1.9602002E7
US29271LAE48,9801001.0
US034863AN08,1.1979E7
US983130AU95,3267000.0
US893647AW74,1.7424E7
US97314XAM65,2.7225E7
US465349AA60,9801001.0
US35671DBC83,2.2869E7
US22289RAA41,8712000.0
US42806LAB71,8712000.0
US881609BC45,9801001.0
US670001AC05,2.1780002E7
US12592BAG95,3267000.0
US682680AQ69,1089000.0
US67020YAL48,7623000.0
US98877DAB10,1.7424E7
US171871AP14,9801001.0
US25278XAC39,6534000.0
US55354GAD25,7623000.0
US74733VAB62,3267000.0
US210383AF21,9801001.0
US92769XAM74,6534000.0
US179584AM91,5445000.5
US44267DAB38,1.4157001E7
US35802XAH61,7623000.0
US46115HAW79,2.1780002E7
US47010BAD64,7623000.0
US97314XAK00,4.3560004E7
US92933BAH78,8712000.0
US586049AB40,2178000.0
US80874YAV20,7623000.0
US806261AM57,8712000.0
US402635AJ59,8712000.0
US851783AB63,7623000.0
US20914UAB26,1.5246E7
US48207WAA71,5445000.5
US527298BD49,1.6335001E7
US74978QAB14,1.0890001E7
US90132BAA52,5445000.5
US18683KAK79,6534000.0
US576485AC09,1089000.0
US12513GAZ28,8712000.0
US02154CAD56,3.1581E7
US651290AQ17,1.6335001E7
US103304BK67,1.3068E7
US690872AA43,9801001.0
US03674PAL76,1.0890001E7
US021332AE17,6534000.0
US171484AB43,3267000.0
US68245XAB55,1.4157001E7
US02376RAA05,1.4157001E7
US02005NBF69,1.5246E7
US12768XAB01,1.8513E7
US55303XAB10,5445000.5
US553234AB11,8712000.0
US09628UAA43,4356000.0
US966244AA30,8712000.0
US62886HAM34,3267000.0
US00191AAB26,1089000.0
US20341WAD74,1.8513E7
US594087AT54,7623000.0
US45031UBU43,1.0890001E7
US44986UAD19,6534000.0
US86765LAF40,6534000.0
US85172FAG46,1.0890001E7
US058498AT38,1.6335001E7
US054303BA99,5445000.5
US23918KAR95,2.3958E7
US761735AP42,5.0094004E7
US268648AP77,3.2670002E7
US87264AAL98,2.8314002E7
US398433AH55,9801001.0
US75281AAS87,9801001.0
US35671DAU90,1.5246E7
US466112AP41,1.0890001E7
US570254AA03,8712000.0
US92343EAF97,9801001.0
US256746AB46,4.0293E7
US550372AA44,7623000.0
US893830BB42,2178000.0
US335934AH85,8712000.0
US00165AAH14,7623000.0
US03690AAA43,8712000.0
US30049XAA54,7623000.0
US206786AA35,9801001.0
US94946TAB26,1.1979E7
US958102AL92,5.8806004E7
US780097AZ42,3.1581E7
US91731VAA44,5445000.5
US48250NAB10,1.7424E7
US29358QAE98,3267000.0
US446413AH98,9801001.0
US63938MAD83,8712000.0
US911365BE34,9801001.0
US70959WAG87,7623000.0
US78442FER55,1.7424E7
US693522AG94,9801001.0
US382550BF73,1.1979E7
US44962LAA52,9801001.0
US63607TAA97,7623000.0
US95081QAK04,5445000.5
US81725WAJ27,6534000.0
US513272AA27,1.1979E7
US858577AR03,6534000.0
US88033GCE89,4.3560004E7
US04021LAA89,2.6136E7
US40537QAN07,1.0890001E7
US70959WAE30,7623000.0
US47010BAB09,1.0890001E7
US500605AH33,7623000.0
US43414TAA43,1.9602002E7
US335934AF20,1.7424E7
US74819RAP10,1.7424E7
US858119BC38,1.1979E7
US665531AB54,6534000.0
US670001AA49,1.7424E7
US92658TAQ13,7623000.0
US120111BM05,1.5246E7
US1248EPBP70,2.7225E7
US64110LAJ52,9801001.0
US552704AB48,9801001.0
US09627HAA41,9801001.0
US70014LAB62,1.8513E7
US12621EAK91,6534000.0
US587118AE09,7623000.0
US442488BR29,8712000.0
US00404AAJ88,7623000.0
US969457BW96,1.9602002E7
US826700AA41,1.0890001E7
US41146AAH95,1.1979E7
US00213MAD65,1.4157001E7
US20337YAA55,2.2869E7
US01741RAF91,7623000.0
US045054AB98,1.1979E7
US65409QBA94,7623000.0
US125581GH56,1.4157001E7
US131347CA27,5445000.5
US103186AA06,1.1979E7
US88023UAG67,7623000.0
US49461BAF13,8712000.0
US35906AAZ12,5.1183E7
US12543DAL47,2.8314002E7
US880349AR61,8712000.0
US251525AP63,1.9602002E7
US600814AL16,8712000.0
US26907YAA29,1.9602002E7
US398545AA16,1.1979E7
US526057BN32,8712000.0
US26817RAN89,2.7225E7
US74966NAA46,1.8513E7
US969457BU31,7623000.0
US364725BA84,4356000.0
US608328BF64,7623000.0
US64072TAA34,3.7026E7
US20605PAG63,8712000.0
US966387AG72,1.4157001E7
US23283PAE43,4356000.0
US761735AT63,2.2869E7
US103304BM24,1.1979E7
US53219LAP40,8712000.0
US86614WAD83,7623000.0
US501889AB59,8712000.0
US80627DAA46,7623000.0
US00214TAA60,1.3068E7
US00774CAA53,1.5246E7
US15671BAK70,6534000.0
US00928QAN16,4356000.0
US527298BH52,1.1979E7
